Rolls,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2,0,1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1
3,0,1,3,7,12,19,27,37,48,61,75,88,96,100,99,94,84,70,51,28
4,0,1,4,15,32,65,108,175,256,369,500,667,832,997,1116,1195,1184,1093,868,523
5,0,1,5,31,80,211,405,781,1280,2101,3125,4646,6400,8626,10725,12836,14000,14276,12325,8146
6,0,1,6,63,192,665,1458,3367,6144,11529,18750,31025,46464,69535,94698,125745,149952,168455,157686,114265
7,0,1,7,127,448,2059,5103,14197,28672,61741,109375,201804,326144,538504,794871,1164234,1508416,1862274,1885079,1496944
8,0,1,8,255,1024,6305,17496,58975,131072,325089,625000,1288983,2238464,4067689,6457272,10387415,14537728,19681161,21486536,18689527
9,0,1,9,511,2304,19171,59049,242461,589824,1690981,3515625,8124562,15114240,30216862,51293385,90348496,135878400,201319552,236425545,225159022
10,0,1,10,1023,5120,58025,196830,989527,2621440,8717049,19531250,50700541,100771840,221812243,400914630,771735325,1241400320,2009506507,2532027610,2639010709
11,0,1,11,2047,11264,175099,649539,4017157,11534336,44633821,107421875,313968920,665116672,1613880148,3095693403,6505185974,11146032128,19683897278,26543468347,30264311980
12,0,1,12,4095,24576,527345,2125764,16245775,50331648,227363409,585937500,1932641699,4353540096,11662379101,23677589268,54292252035,98725650432,189982138829,273493500204,340997748211
13,0,1,13,8191,53248,1586131,6908733,65514541,218103808,1153594261,3173828125,11839990878,28298117120,83821407658,179718629805,449692975356,865055027200,1812173280828,2778230776685,3786550197418
14,0,1,14,16383,114688,4766585,22320522,263652487,939524096,5835080169,17089843750,72260648457,182849601536,599836588231,1355506621602,3702733594505,7513731678208,17122299798159,27889540202174,41537085948433
15,0,1,15,32767,245760,14316139,71744535,1059392917,4026531840,29443836301,91552734375,439667406436,1175462215680,4277304780832,10169319560895,30345257844514,64795235205120,160533413913082,277181189157855,450956981080936
16,0,1,16,65535,524288,42981185,229582512,4251920575,17179869184,148292923329,488281250000,2668522016815,7522959228928,30411591079633,75943804289904,247753764891055,555426993668096,1495584227982097,2731308160093072,4852721697633775
17,0,1,17,131071,1114112,129009091,731794257,17050729021,73014444032,745759583941,2593994140625,16163719991594,47958867312640,215703122748214,564886805239185,2016575305557416,4737115735654400,13860422066298104,26716268606400144,51821475089852136
18,0,1,18,262143,2359296,387158345,2324522934,68332056247,309237645312,3745977788889,13732910156250,97745259402773,304679867645952,1526851316719099,4187040014124414,16372252001415284,40227716776329224,127892887535747400,259656873947663680,549716094109002750
19,0,1,19,524287,4980736,1161737179,7360989291,273715645477,1305670057984,18798608421181,72479248046875,590286253682352,1929639171719168,10789528084373356,30938552690240550,132643813642435860,340343932503457860,1175796671236837600,2509524498962824000,5797350211684025000
20,0,1,20,1048575,10485760,3485735825,23245229340,1096024843375,5497558138880,94267920012849,381469726562500,3560791008422331,12187194789724160,76136084612319700,227972406149324000,1072747768582672400,2870116566716907500,10776766050742616000,24134730591942717000,60825300187483230000
