
1d6D0 = 6 rolls
1: 1, 16.66 %
2: 1, 16.66 %
3: 1, 16.66 %
4: 1, 16.66 %
5: 1, 16.66 %
6: 1, 16.66 %

2d6D1 = 36 rolls
1: 1, 2.77 %
2: 3, 8.33 %
3: 5, 13.88 %
4: 7, 19.44 %
5: 9, 25 %
6: 11, 30.55 %

3d6D2 = 216 rolls
1: 1, 0.46 %
2: 7, 3.24 %
3: 19, 8.79 %
4: 37, 17.12 %
5: 61, 28.24 %
6: 91, 42.12 %

4d6D3 = 1296 rolls
1: 1, 0.07 %
2: 15, 1.15 %
3: 65, 5.01 %
4: 175, 13.5 %
5: 369, 28.47 %
6: 671, 51.77 %

5d6D4 = 7776 rolls
1: 1, 0.01 %
2: 31, 0.39 %
3: 211, 2.71 %
4: 781, 10.04 %
5: 2101, 27.01 %
6: 4651, 59.81 %

6d6D5 = 46656 rolls
1: 1, 0 %
2: 63, 0.13 %
3: 665, 1.42 %
4: 3367, 7.21 %
5: 11529, 24.71 %
6: 31031, 66.51 %

2d6D0 = 36 rolls
2: 1, 2.77 %
3: 2, 5.55 %
4: 3, 8.33 %
5: 4, 11.11 %
6: 5, 13.88 %
7: 6, 16.66 %
8: 5, 13.88 %
9: 4, 11.11 %
10: 3, 8.33 %
11: 2, 5.55 %
12: 1, 2.77 %

2d6D0 = 720 rolls
3: 1, 0.13 %
4: 3, 0.41 %
5: 6, 0.83 %
6: 10, 1.38 %
7: 15, 2.08 %
8: 21, 2.91 %
9: 26, 3.61 %
10: 30, 4.16 %
11: 33, 4.58 %
12: 35, 4.86 %
13: 36, 5 %
14: 36, 5 %
15: 36, 5 %
16: 36, 5 %
17: 36, 5 %
18: 36, 5 %
19: 36, 5 %
20: 36, 5 %
21: 36, 5 %
22: 36, 5 %
23: 35, 4.86 %
24: 33, 4.58 %
25: 30, 4.16 %
26: 26, 3.61 %
27: 21, 2.91 %
28: 15, 2.08 %
29: 10, 1.38 %
